pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_age,sy_dist,sy_pnum
"CWISEP J193518.59-154620.3 b","CWISEP J193518.59-154620.3","Imaging",2025,,2.4800000000,,4926.34030850,,390.00,,,"Y",,,0.024000,5.5000,14.43000000,1
"CoRoT-4 b","CoRoT-4","Transit",2008,9.20205000000,0.0900000000,13.34000000,228.83000000,0.525000,1074.00,,0.000000,,6190.00,1.170000,1.160000,1.0000,726.41200000,1
"EPIC 205950854 c","K2-168","Transit",2019,8.05072200000,,1.31000000,,,960.60,,,,5502.70,0.830000,0.877000,,243.93500000,2
"EPIC 229004835 b","EPIC 229004835","Transit",2023,16.14113200000,0.1237000000,2.33200000,10.40000000,4.490000,804.00,69.7000,0.230000,,5868.00,0.999000,0.970000,4.9000,121.97100000,1
"GQ Lup b","GQ Lup","Imaging",2004,,100.0000000000,33.60000000,6356.00000000,,2650.00,,,"K7e V",,,0.700000,0.0010,151.16900000,1
"HAT-P-44 b","HAT-P-44","Transit",2014,4.30121900000,0.0507000000,13.92200000,111.87100000,0.230000,1108.00,,0.044000,,5295.00,0.949000,0.942000,7.5000,347.85000000,2
"HATS-13 b","HATS-13","Transit",2015,3.04404990000,0.0405700000,13.58530800,172.58169000,0.377000,1244.00,,0.181000,,5523.00,0.887000,0.962000,2.5000,421.85500000,1
"HATS-26 b","HATS-26","Transit",2016,3.30238810000,0.0473500000,19.61575000,206.58950000,0.153000,1918.00,,0.245000,"F",6071.00,2.040000,1.299000,4.0400,861.84300000,1
"HATS-52 b","HATS-52","Transit",2017,1.36665436000,0.0249800000,15.49083800,711.93920000,1.060000,1834.00,,0.246000,,6010.00,1.046000,1.111000,1.2000,555.13400000,1
"HATS-53 b","HATS-53","Transit",2017,3.85377680000,0.0475300000,15.02006000,189.10885000,0.303000,1312.00,,0.330000,,5644.00,1.101000,0.964000,9.0000,585.77000000,1
"HATS-7 b","HATS-7","Transit",2015,3.18531500000,0.0401200000,6.31066700,38.13960000,0.830000,1084.00,,0.170000,"K2",4985.00,0.815000,0.849000,7.8000,240.70700000,1
"HD 101581 b","HIP 56998","Transit",2025,4.46569000000,0.0460000000,0.95600000,,,834.00,80.0000,,,4675.00,0.630000,0.653000,6.8800,12.77810000,2
"HD 136352 c","HD 136352","Radial Velocity",2019,27.59221000000,0.1721000000,2.91600000,11.24000000,2.497668,677.00,35.1000,0.000000,,5664.00,1.058000,0.870000,12.3000,14.68200000,3
